ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3390	Blu ray and DVD players Sales - BG	These companies retail Blu ray and DVD players both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	1.2.1	C3i	B4ii 1.2.1 C3i	(C3i) 2.2.2 F	Product					(C3i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3393	Refrigerator and Freezer sales - BG	These companies retail refrigerators and freezers both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	1.3.2	E4divA	B4ii 1.3.2 E4divA	(B4ii) 1.3.2 E4divA	Subject		E4divA 2.2.2 F	DivA	DivM	DivA	Main	1.3.2 F	RP	Consumers	First																	
3392	Audio Devices Sales - BG	These companies retail audio and small electronics like mp3 players, ipods etc. both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	1.2.3	C3i	B4ii 1.2.3 C3i	(C3i) 2.2.2 F	Product					(C3i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3395	Washer and Dryers sales - BG	These companies retail washers and dryers both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	2.2.3	B4i	B4ii 2.2.3 B4i	2.2.3 B4i	Subject		B4i 1.3.2 F	DivA	DivM	DivA	Main	1.3.2 F	RP	Consumers	First																	
3394	Cooking ranges sales - BG	These companies retail cooking ranges both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.2.2 E4iii	Subject		E4iii 2.2.2 F	DivA	DivM	DivA	Main	1.3.2 F	RP	Consumers	First																	
3397	Student Recruiting - BG	These companies help colleges find and recruit students.	3B1	Procurement related services		1.1.1	F	(C3iii)	AP	In-house											  	1.1.1 F (C3iii)	Product					1.1.1 F (C3iii)	Main	2.1.2 F (C3iii)	AP	Businesses	First									2.1.2 F (C3iii)					2.1.2 F (C3iii)	1.3.2 F	RP	Consumers
3396	Dishwasher sales - BG	These companies retail dishwashers both online and at their stores.	2A2	Equipment Distributer	(DivS)	3.1.2	B4ii		RP	In-house								B4ii	2.2.3	B4i	B4ii 2.2.3 B4i	2.2.3 B4i	Subject		B4i 1.3.2 E4divA	2.2.2 F	Product	2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3399	Supply Chain Management for Semiconductor Manufacturers - PL	These companies provide a broad range of services that are centered around supplier selection for powered semiconductor manufacturers.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItP (1)					1.1.2 BdivA (C4ii)	Main	2.2.2 B3i	RP	Businesses	First							B3i Div CdivA	B4ii DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3398	Supply Chain Management for Electrical Distributors - PL	These companies provide a broad range of services that are centered around supplier selection for electrical distributors.  	2B4	Equipment Maintenance or Repair		1.1.2	BdivA	(C4ii)	AP	In-house											  	1.1.2 BdivA (C4ii)	ItS	BdivA DivA DivA	(B4iii) 1.2.2 E4iii	(B4iii) 1.2.2 E4iii	Product	(B4iii) 1.2.2 E4iii	Main	(B4iii) 3.1.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3593	Protective Clothing for General Industrial Applications - PL	These companies manufacture protective clothing sold through distributers for general industrial applications.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	2.2.2 DivA	Div	Businesses	First																	
