ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3382	Thermal Coal Freight Forwarding for Coal Brokers - PL	These companies perform freight forwarding services on behalf of coal brokers.	5A2	Energy for Equipment or diversified resources Activity Products	(B4ii)	1.2.2	E4i		AP	Outsourced											  	(B4ii) 1.2.2 E4i	Product					(B4ii) 1.2.2 E4i	Main	3.1.2 E4i	RP	Businesses	First								E4i 2.2.2 B4ii	2.2.2 E4iii					2.2.2 E4iii	2.2.2 E4iii	RP	Businesses
3571	Home Furniture: Sold through interior designers - BG	These companies manufacture home furniture and sell through interior designers to consumers	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	1.1.2 B4i (C4ii)	Agent						B4i	1.3.2	DivA	B4i 1.3.2 DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3557	Drivetrains and Control Systems for Wind Turbines	These companies manufacture drivetrains and control systems software for wind turbines. 	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	2.2.2 B4ii	With Inventory			B3iii	DivS	DivS	B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3556	Boat engine emissions scrubbers - BG	These companies produce equipment that reduces the amount of harmful gases released by large ocean cargo ships	2A1	Equipment manufacturers		2.2.2	B3iii		RP	Outsourced	2.2.2 B4ii	With Inventory			B3iii	2.2.3	E1i	B4ii	1.2.2	DivA	B4ii 1.2.2 DivA	1.2.2 DivA	Product					1.2.2 DivA	Main	(B4ii) 1.2.2 DivA	AP	Businesses	First									(B4ii) 1.2.2 DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3555	Power plant emissions scrubbers	These companies produce equipment that reduces the amount of harmful gases released by power plants	2A1	Equipment manufacturers		2.2.2	B3iii		RP	Outsourced	2.2.2 A4ii	With Inventory			B3iii	2.2.3	E1i	A4ii	1.3.2	B4ii	A4ii 1.3.2 B4ii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3554	Drivetrains for Wind Turbines - BG	These companies manufacture drivetrains to be incorporated into wind turbines. 	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	2.2.2 B4ii	With Inventory			B3iii	2.2.2	E4iii	B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3553	Application Performance Analytics Hardware for Businesses sold through Distributors - PL	These companies produce hardware used to carry out network traffic analysis. They sell this hardware to enterprises through equipment retailers.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	3.1.2 BdivA	With Inventory			B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Main	DivA	Div	Businesses	First																	
3713	Distribution of Temporary-Use Personal Products (Cosmetics and Personal Maintenance Product) to Food Retailers - PL	These companies distribute temporary-use personal products such as cosmetics and personal maintenance products, to food retailers. 	2A2	Equipment Distributer		3.1.2	B4i		RP	In-house	(A4ii) 3.1.2 E4divA	With Inventory						B4i	2.2.3	F	B4i 2.2.3 F	2.2.3 F	Product					2.2.3 F	Main	1.3.2 F	RP	Consumers	First																	
3551	Application Performance Analytics Hardware for Government through Distributors - PL	These companies produce hardware used to carry out network traffic analysis. They sell this hardware to governments through equipment retailers.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	3.1.2 BdivA	With Inventory			B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
3550	Application Performance Analytics Hardware for Government, Direct Sales  - BG	These companies produce hardware used to carry out network traffic analysis. They sell this hardware directly to governments.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house					B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
3712	Paper Product Distributor to Franchises - BG	These companies distribute paper products (napkins, paper plates, pizza boxes) to the restaurants that are under their franchises.	2A2	Equipment Distributer		3.1.2	B4i		RP	In-house	(A4ii) 3.1.2 E4iii	With Inventory						B4i	1.3.2	E4divA	B4i 1.3.2 E4divA	2.2.2 F	Product					2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3559	Furniture Assembly for Retailers - BG	These companies assemble and install furniture, often shelves, for retailers.	2B3	Contract Equipment Manufacturing		2.2.2	B4i		AP	In-house											  	2.2.2 B4i	Subject		B4i 1.3.2 DivA	3.1.1 DivA (C3ii)	Product	3.1.1 DivA (C3ii)	Main	(A4ii) 3.1.2 DivA	RP	Businesses	First															1.3.2 F	RP	Consumers
3558	Diversified Recreational Equipment	These companies manufacture diversified recreational equipment.	2A1	Equipment manufacturers		2.2.2	B4divS		RP	In-house	(A4ii) 3.1.2 BdivA	With Inventory						B4divS	DivS	DivS	B4divS DivS DivS	(B4divS) 2.2.2 F	Product					(B4divS) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3856	Security System Design and Engineering  - PL	These companies provide security system design services. This includes design of surveillance systems and general infrastructure.	3B5	Design Related Services		2.1.2	B4ii	(C3iii)	AP	In-house											  	2.1.2 B4ii (C3iii)	Subject		B4ii 2.2.2 C2i	1.3.1 DivA (C2ii)	DivM	DivA	Main	DivA	Div	Businesses and Governments	First																	
3857	College Career Centers - PL	These companies provide career centers to colleges.	3B5	Design Related Services		2.1.2	F	(C3iii)	AP	In-house											  	2.1.2 F (C3iii)	Product					2.1.2 F (C3iii)	Main	2.1.2 F (C3iii)	AP	Businesses	First									2.1.2 F (C3iii)					2.1.2 F (C3iii)	1.3.2 F	RP	Consumers
3854	Security Assessment and Testing - PL	These companies provide security assessment and testing services, related to infrastructure and future risk, for diversified organizations, including government and businesses. 	3B11	Research services		2.1.1	DivA	(C3iii)	AP	In-house											  	2.1.1 DivA (C3iii)	Subject		DivA DivA DivA	1.3.1 DivA	DivM	DivA	Main	DivA	Div	Businesses and Governments	First																	
3855	Security Related Workforce Training - PL	These companies provide workforce training related directly to security to diversified businesses and governments.	3B5	Design Related Services		2.1.2	F	(C3iii)	AP	In-house											  	2.1.2 F (C3iii)	Subject		F 1.3.1 DivA	1.3.1 DivA	DivM	DivA	Main	DivA	Div	Businesses and Governments	First																	
3852	Clinical Technical and Software Support - PL	These companies assist clinical users with electronic health record systems and serve as a liaison between clinicians and hospital IT staff.	3B7	Quality control related services		2.3.2	C4iii		AP	In-house											  	2.3.2 C4iii	Subject		C4iii 2.2.2 CdivA	DivS	Product	DivS	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3853	Clinical Policy Implementation - PL	These companies implement and standardize policies determined by healthcare organizations within clinics.	6A	Activity Products that act on people		4.2.2	F		AP	In-house											  	4.2.2 F	Subject		F 2.3.2 F	2.3.2 F	Product	2.3.2 F	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3850	Leadership Consulting - PL	These companies provide consulting services including leadership assessment, leadership development, and succession planning.	3B9	Consulting related services		4.1.2	F	(C3iii)	AP	In-house											  	4.1.2 F (C3iii)	Subject		F 4.2.2 DivA	4.2.2 DivA (C4ii)	DivT	4.2.2 DivA (C4ii)	Main	DivA	Div	Businesses and Governments	First																	
3851	Clinical Billing Support - PL	These companies help ensure medical clinics process claims efficiently.	4B1	Financial Brokers		3.2.1	D4iii	(C4iii)	AP	In-house											  	3.2.1 D4iii (C4iii)	Money					2.3.2 F	Main	2.3.2 F	AP	Businesses	First									2.3.2 F					2.3.2 F	1.3.2 F	RP	Consumers
3858	Cranes for Crude Oil and Natural Gas Drilling Operations - PL	These companies manufacture cranes and other powered equipment-transport equipment used in crude oil and natural gas drilling operations. 	2A1	Equipment manufacturers		2.2.2	B4ii		RP	In-house								B4ii	1.2.2	BdivS	B4ii 1.2.2 BdivS	2.2.2 A2ii	ItS	A2ii 1.3.2 E1i	A4ii 1.3.2 B4ii	2.2.2 E1ii	DivM	2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3859	Contract Construction for Energy Producers	These companies provide contract construction of buildings and facilities to energy producers.	1B1.F	Building Real Estate Contractors for producers of Energy for equipment or diversified resources		2.2.2	A4ii		AP	In-house											  	2.2.2 A4ii	Subject		A4ii 1.3.2 B4ii	2.2.2 EdivS	Product	2.2.2 EdivS	Main	2.2.2 EdivS	RP	Businesses	First							EdivS 1.3.2 E4divS	E4divS 2.2.2 DivA	DivA					DivA	1.3.2 F	RP	Consumers
3719	Distributor of Refrigerated Shipping Containers - PL	These companies distribute refrigerated shipping containers to shipping companies.	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	1.3.2	EdivA	B4ii 1.3.2 EdivA	(B4ii) 1.3.2 EdivA	Product					(B4ii) 1.3.2 EdivA	Auxiliary	(B4ii) 1.2.2 DivA	AP	Businesses	First									(B4ii) 1.2.2 EdivA					(B4ii) 1.2.2 EdivA	DivA	Div	Businesses
3718	Distribution of Electronic Testing Equipment for Use by Original Equipment Manufacturers (OEMs) - PL	These companies sell electronic testing equipment to general equipment manufacturers. This equipment is used in testing during production. 	2A2	Equipment Distributer		3.1.2	B4ii		RP	In-house								B4ii	2.2.2	C2iii	B4ii 2.2.2 C2iii	2.3.1 BdivA (C2iii)	Product					2.3.1 BdivA (C2iii)	Main	2.2.2 BdivA	Div	Businesses	First																	
3773	Office Lessor for Freight Companies - PL	These companies lease office space for freight and shipping companies.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	(B4divS) 1.2.2 DivA	AP	Businesses	First									(B4divS) 1.2.2 DivA					(B4divS) 1.2.2 DivA	DivA	Div	Businesses, Consumers, and Governments
3772	Office Lessor for Retail Businesses - PL	These companies lease office space for retail businesses.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	(A4ii) 3.1.2 DivA	RP	Businesses	First								DivA DivA DivA	DivA					DivA	1.3.2 F	RP	Consumers
3771	Skilled Nursing Facility Lessors - PL	These companies own skilled nursing facilities. These REITs lease the space to Nursing Facility Operators, who provide seniors with various medical services and long-term room rental.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house	3.3.2 A4ii	With Inventory						A4ii	1.3.2	F	A4ii 1.3.2 F	2.3.2 F	Product					2.3.2 F	Main	1.3.2 F	RP	Consumers	First																	
3770	Nursing Home Operators; Self Paid - PL	These companies operate nursing and assisted living facilities to consumers paid for by the consumers without monies from health insurance. These companies provide both long-term room rental and medical services.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	2.3.2 F	Product					2.3.2 F	Main	1.3.2 F	RP	Consumers	First																	
3777	Office Lessor for Office Supply Companies - PL	These companies lease office space to office supply companies.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 BdivA	RP	Businesses	First							BdivA DivA DivA	DivA DivA DivA	DivA					DivA	DivA	Div	Businesses and Governments
3776	Office Lessor for Personal Product Manufacturers - PL	These companies lease office space for personal product producers.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 BdivA	RP	Businesses	First							BdivA DivA DivA	DivA DivA DivA	DivA					DivA	1.3.2 F	RP	Consumers
3775	Office Lessor for Industrial Equipment Manufacturers - PL	These companies lease office space to Industrial Equipment manufacturers.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 2.2.2 DivA	2.2.2 DivA					2.2.2 DivA	2.2.2 DivA	RP	Businesses
3774	Office Lessor for Automotive Industry - PL	These companies lease office space to the automotive industry.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 F	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3779	Office Lessor to Healthcare Product Producers - PL	These companies lease office space to healthcare product producing companies.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 DivA	RP	Businesses	First								DivA DivA DivA	2.3.2 F					2.3.2 F	DivS F	Div	Businesses and Consumers
3778	Office Lessor to Container Manufacturers - PL	These companies lease office space to container and packaging manufacturers.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	F	A4ii 1.3.2 F	DivA	DivM					DivA	Main	2.2.2 BdivS	RP	Businesses	First							BdivS 1.3.2 DivA	DivA DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3678	Enterprise Resource Planning Installed Software Package for Businesses - BG	These companies install and configure Enterprise Resource Planning software packages for companies. Enterprise Resource Planning software creates a user interface that displays relevant current operational information about the company.	3B6	Contract Printing		2.2.2	C4iii		AP	In-house											  	2.2.2 C4iii	Subject		C4iii 1.3.2 C2iii	4.2.1 DivA (C2iii)	DivT	DivA	Main	DivA	Div	Businesses	First																	
3679	Digital Content Management Installed Software Package for Businesses - BG	These companies install and configure Digital Content Management software packages for businesses. Digital Content Management software allows companies to manage their online content across their many applications and websites through one interface.	3B6	Contract Printing		2.2.2	C4iii		AP	In-house											  	2.2.2 C4iii	Subject		C4iii 2.2.2 C4iii	3.1.1 DivA (C3ii)	Product	3.1.1 DivA (C3ii)	Main	DivA	Div	Businesses	First																	
3672	Patents Created for Security Hardware - nrBG	These companies design blueprints for security hardware and patent their intellectual property.	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B3i	C4ii 2.1.2 B3i	2.2.2 B3i	ItP (2)	B3i 1.3.1 B4ii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 2.2.2 CdivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3673	Patents Created for Semiconductor Technology to Consumer Electronic Product Manufacturer - nrBG	These companies design blueprints for the manufacturing of semiconductors that are then used in manufacturing consumer electronic products and patent their intellectual property.	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B3i	C4ii 2.1.2 B3i	2.2.2 B3i	ItP (2)	B3i 1.2.1 CdivA		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii DivA CdivA	DivA					DivA	1.3.2 F	RP	Consumers
3670	Patents Created for Lighting Technology to LED Lighting Manufacturers - nrBG	These companies design blueprints for the manufacturing of LED lighting and patent their intellectual property.	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B3i	C4ii 2.1.2 B3i	2.2.2 B3i	ItP (2)	B3i 1.2.1 CdivA		2.2.2 B3i	Product	2.2.2 B3i	Main	2.2.2 B3i	RP	Businesses	First							B3i 2.2.2 E4iii	B4ii 2.2.2 E4iii	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3671	Patents Created for Semiconductor Technology to Electronic Device Manufacturers - nrBG	These companies design blueprints for the manufacturing of semiconductors that are then used in manufacturing electronic devices and patent their intellectual property.	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B3i	C4ii 2.1.2 B3i	2.2.2 B3i	ItP (2)	B3i 1.2.1 CdivA		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 2.2.2 CdivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3676	Patents Created For Automobile Manufacturers - nrBG	These companies produce licenses, which they then lease to automobile manufacturers	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B4ii	C4ii 2.1.2 B4ii	2.2.2 B4ii	Product					2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 F	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3677	Business Intelligence Installed Software Package for Businesses - BG	These companies install and configure business Intelligence software packages for companies. Business Intelligence software analyzes the company's performance and produces reports and inform the management plan.	3B6	Contract Printing		2.2.2	C4iii		AP	In-house											  	2.2.2 C4iii	Subject		C4iii 2.2.2 C2iii	4.1.1 DivA (C2iii)	DivT	DivA	Main	DivA	Div	Businesses	First																	
3674	Patents Created For Consumer Electronics Manufacturers - nrBG	These companies produce licenses, which they then lease to consumer electronic manufacturers	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B4ii	C4ii 2.1.2 B4ii	2.2.2 B4ii	Product					2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii DivA CdivA	DivA					DivA	1.3.2 F	RP	Consumers
3675	Patents Created For Cellular Phone Manufacturers - nrBG	These companies produce licenses, which they then lease to phone manufacturers	3A3	Information Products meant to command		2.2.2	C4ii		RP	In-house	3.3.2 C4ii	With Inventory						C4ii	2.1.2	B4ii	C4ii 2.1.2 B4ii	2.2.2 B4ii	Product					2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.2 CdivA	(B4ii) 1.2.2 CdivA					DivA	1.3.2 F	RP	Consumers
3386	Online Sales: User Input Computer Peripheral Devices  - PL	These companies sell user input peripherals devices like mice and keyboards online.	2A2	Equipment Distributer	(C4iii)	3.1.2	B4ii		RP	In-house								B4ii	1.2.1	CdivA	B4ii 1.2.1 CdivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3387	Online Audio Devices Retail - PL	These companies sell Audio and Small electronics like mp3 players, ipods, etc. online.	2A2	Equipment Distributer	(C4iii)	3.1.2	B4ii		RP	In-house								B4ii	1.2.3	C3i	B4ii 1.2.3 C3i	(C3i) 2.2.2 F	Product					(C3i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3384	Online Television Retail  - PL	These companies sell televisions online.	2B4	Equipment Maintenance or Repair	(C4iii)	3.1.2	B4ii		AP	In-house								B4ii	1.3.2	C3i	B4ii 1.3.2 C3i	(C3i) 2.2.2 F	Product					(C3i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3385	Online Blu Ray and DVD Players Retail - PL	These companies sell Blu Ray and DVD players online.	2A2	Equipment Distributer	(C4iii)	3.1.2	B4ii		RP	In-house								B4ii	1.2.1	C3i	B4ii 1.2.1 C3i	(C3i) 2.2.2 F	Product					(C3i) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3383	Alcoholic Hotel Minibar Sales for Casinos - PL	These companies sell alcoholic products via casinos' hotel minibars.	5B2	Food Activity Products	(B4ii)	3.1.2	E4ii		AP	In-house	(A4ii) 3.1.2 D3iii	Agent						E4ii	2.2.2	F	E4ii 2.2.2 F	(E4ii) 2.2.2 F	Product					(E4ii) 2.2.2 F	Main	1.3.2 F	RP	Consumers	First																	
3663	Contract Construction Services for Electric Utility Distribution Companies with Subcontractors - BG	These companies provide contract construction work of utility distribution networks. They use subcontractors for the construction.	2B3	Contract Equipment Manufacturing		2.2.2	B4iii		AP	Outsourced											  	2.2.2 B4iii	Subject		B4iii 1.2.2 E4iii	(B4iii) 1.2.2 E4iii	Product	(B4iii) 1.2.2 E4iii	Main	(B4iii) 3.1.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3380	Retail Memory Holding Computer Peripherals  - PL	These companies sell peripherals that hold information such as disk drives, at their stores.	2A2	Equipment Distributer	(A4ii)	3.1.2	B4ii		RP	In-house								B4ii	1.3.2	CdivA	B4ii 1.3.2 CdivA	(B4ii) 1.3.2 CdivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3381	Waste Forwarding - BG	These companies develop the logistics for companies planning to dispose waste.	2B1	Transportation related services of Equipment or diversified resources	(B4ii)	1.2.2	B1i		AP	Outsourced											  	(B4ii) 1.2.2 B1i	Byproduct					(B4ii) 1.2.2 B1i	Main	DivA	Div	Businesses and Governments	First																	
3749	Warehouse Lessor for Building Material Manufacturers - PL	These companies lease warehouses to building material manufacturers.	1A2.B	Real Estate Lessors		3.3.2	A4ii		RP	In-house								A4ii	1.3.2	DivA	A4ii 1.3.2 DivA	(A4ii) 1.3.2 DivA	DivM					DivA 	Main	2.2.2 B2divA	RP	Businesses	First							B2divA 1.3.2 A4ii	A4ii 1.3.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3388	Online Sales: Memory Holding Computer Peripherals  - PL	These companies sell peripherals that hold information such as disk drives, online.	2A2	Equipment Distributer	(C4iii)	3.1.2	B4ii		RP	In-house								B4ii	1.3.2	CdivA	B4ii 1.3.2 CdivA	(B4ii) 1.3.2 CdivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3389	Online Sales: Computer, Tablet, and Image and Document Producing Peripheral	These companies sell computers, tablets, and peripherals that produce information like printers, scanners, cameras etc. online	2A2	Equipment Distributer	(C4iii)	3.1.2	B4ii		RP	In-house								B4ii	2.2.2	CdivA	B4ii 2.2.2 CdivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3479	Implantable Stent System; Sold through Distributors - BG	These companies produce stents graft platforms sold through distributors that are implanted into human body to treat narrow or weak arteries.	2A1	Equipment manufacturers		2.2.2	B2ii		RP	In-house	3.1.2 B2ii	With Inventory	2.3.2 F	With Inventory	B2ii	1.3.2	B2iii	F	DivA	DivA	F DivA DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3580	Protective Clothing for Residential Water Utilities - PL	These companies manufacture protective clothing sold through distributers for residential water utilities.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Product		F DivA DivA	DivA	DivM	DivA	Main	(B4iii) 3.1.2 E4i	RP	Businesses	First								E4i 2.2.2 F	DivA					DivA	1.3.2 F	RP	Consumers
3581	Protective Clothing for Natural Gas Utilities - PL	These companies manufacture protective clothing sold through distributers for natural gas utilities.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	(B4iii) 3.1.2 E4i	RP	Businesses	First								E4i 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3582	Protective Clothing for Electric Utilities - PL	These companies manufacture protective clothing sold through distributers for electric utilities.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	(B4iii) 3.1.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3583	Protective Clothing for Airport Workers - PL	These companies manufacture protective clothing sold through distributers for workers employed by airports.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	1.3.2 A4ii	RP	Businesses and Governments	First								A4ii 1.3.2 DivA	(A4ii) 1.2.3 F					(A4ii) 1.2.3 F	(B4ii) 1.2.2 F	AP	Businesses
3584	Protective Clothing for Consumers - PL	These companies manufacture protective clothing sold through distributers for consumers.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Product					1.3.1 F	Main	1.3.2 F	RP	Consumers	First																	
3585	Protective Clothing for General Research Laboratories - PL	These companies manufacture protective clothing sold through distributers for general research laboratories.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	DivA	DivM	DivA	Main	2.1.1 DivA (CdivA)	RP	Businesses	First																	
3586	Protective Clothing for Highway Construction - PL	These companies manufacture protective clothing sold through distributers for highway construction.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 A4ii	Product	2.2.2 A4ii	Main	2.2.2 A4ii	AP	Businesses	First									2.2.2 A4ii					2.2.2 A4ii	4.2.2 F	AP	Governments
3587	Protective Clothing for Construction - PL	These companies manufacture protective clothing sold through distributers for construction.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 A4ii	Product	2.2.2 A4ii	Main	2.2.2 A4ii	RP	Businesses	First								A4ii 1.3.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3588	Protective Clothing for Refined Metal Production - PL	These companies manufacture protective clothing for sold through distributers refined metal producers.	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	3.1.2 BdivA	With Inventory						B4i	1.3.2	F	B4i 1.3.2 F	1.3.1 F	Subject		F DivA DivA	2.2.2 B1iii	Product	2.2.2 B1iii	Main	2.2.2 B1iii	RP	Businesses	First							B1iii 1.3.2 DivA	DivA DivA DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
